===== [2026年 08月 27日 星期四 15:17:14 CST] baseline 开始 =====
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - NumExpr defaulting to 16 threads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/617 [00:00<?, ?it/s]Loading weights:  38%|███▊      | 233/617 [00:00<00:00, 2328.51it/s]Loading weights:  78%|███████▊  | 483/617 [00:00<00:00, 2426.21it/s]Loading weights: 100%|██████████| 617/617 [00:00<00:00, 2587.05it/s]
[2026-08-27 15:17:28,397][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-08-27 15:17:28,562][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/datasets/lmms-lab-encoder/MMBench/56ba1af8954932c4804bd3f522e05ed96e63b654/README.md "HTTP/1.1 200 OK"
[2026-08-27 15:17:28,877][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/MMBench.py "HTTP/1.1 404 Not Found"
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:28,878][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:29,650][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/lmms-lab-encoder/MMBench/lmms-lab-encoder/MMBench.py "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:30,990][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/revision/56ba1af8954932c4804bd3f522e05ed96e63b654 "HTTP/1.1 200 OK"
[2026-08-27 15:17:31,254][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:32,515][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cc?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:32,931][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:33,502][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:33,891][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cn?recursive=true&expand=false "HTTP/1.1 200 OK"
Model: /home/jxy/TTL/Qwen3.5-2B
Strategy: none (online.enabled=False), backend=hf, enable_thinking=False
Dataset: lmms-lab-encoder/MMBench cn dev, n=4329
[1340/4329] acc=0.8037 pred=C gold=C loss=None (0.6s/sample)
[1360/4329] acc=0.8044 pred=C gold=C loss=None (0.6s/sample)
[1380/4329] acc=0.8000 pred=B gold=B loss=None (0.6s/sample)
[1400/4329] acc=0.7936 pred=B gold=D loss=None (0.6s/sample)
[1420/4329] acc=0.7930 pred=C gold=C loss=None (0.6s/sample)
[1440/4329] acc=0.7958 pred=A gold=A loss=None (0.6s/sample)
[1460/4329] acc=0.7986 pred=D gold=D loss=None (0.6s/sample)
[1480/4329] acc=0.8000 pred=B gold=B loss=None (0.6s/sample)
[1500/4329] acc=0.8020 pred=B gold=B loss=None (0.6s/sample)
[1520/4329] acc=0.8033 pred=B gold=B loss=None (0.6s/sample)
[1540/4329] acc=0.8039 pred=C gold=C loss=None (0.6s/sample)
[1560/4329] acc=0.8064 pred=B gold=B loss=None (0.6s/sample)
[1580/4329] acc=0.8070 pred=D gold=C loss=None (0.6s/sample)
[1600/4329] acc=0.8075 pred=A gold=A loss=None (0.6s/sample)
[1620/4329] acc=0.8080 pred=B gold=B loss=None (0.6s/sample)
[1640/4329] acc=0.8067 pred=D gold=A loss=None (0.6s/sample)
[1660/4329] acc=0.8066 pred=B gold=B loss=None (0.6s/sample)
[1680/4329] acc=0.8089 pred=A gold=A loss=None (0.6s/sample)
[1700/4329] acc=0.8082 pred=C gold=B loss=None (0.6s/sample)
[1720/4329] acc=0.8064 pred=C gold=C loss=None (0.6s/sample)
[1740/4329] acc=0.8040 pred=C gold=D loss=None (0.6s/sample)
[1760/4329] acc=0.8051 pred=D gold=D loss=None (0.6s/sample)
[1780/4329] acc=0.8073 pred=D gold=D loss=None (0.6s/sample)
[1800/4329] acc=0.8078 pred=C gold=B loss=None (0.6s/sample)
[1820/4329] acc=0.8077 pred=C gold=A loss=None (0.6s/sample)
[1840/4329] acc=0.8082 pred=C gold=C loss=None (0.6s/sample)
[1860/4329] acc=0.8097 pred=B gold=B loss=None (0.6s/sample)
[1880/4329] acc=0.8117 pred=B gold=B loss=None (0.6s/sample)
[1900/4329] acc=0.8137 pred=A gold=A loss=None (0.6s/sample)
[1920/4329] acc=0.8156 pred=D gold=D loss=None (0.6s/sample)
[1940/4329] acc=0.8160 pred=B gold=B loss=None (0.6s/sample)
[1960/4329] acc=0.8179 pred=A gold=A loss=None (0.6s/sample)
[1980/4329] acc=0.8197 pred=D gold=D loss=None (0.6s/sample)
[2000/4329] acc=0.8205 pred=C gold=D loss=None (0.6s/sample)
[2020/4329] acc=0.8218 pred=A gold=A loss=None (0.6s/sample)
[2040/4329] acc=0.8196 pred=B gold=B loss=None (0.6s/sample)
[2060/4329] acc=0.8189 pred=C gold=C loss=None (0.6s/sample)
[2080/4329] acc=0.8202 pred=A gold=A loss=None (0.6s/sample)
[2100/4329] acc=0.8200 pred=A gold=A loss=None (0.6s/sample)
[2120/4329] acc=0.8189 pred=B gold=B loss=None (0.6s/sample)
[2140/4329] acc=0.8178 pred=A gold=A loss=None (0.6s/sample)
[2160/4329] acc=0.8167 pred=B gold=B loss=None (0.6s/sample)
[2180/4329] acc=0.8183 pred=C gold=C loss=None (0.6s/sample)
[2200/4329] acc=0.8182 pred=B gold=B loss=None (0.6s/sample)
[2220/4329] acc=0.8198 pred=D gold=D loss=None (0.6s/sample)
[2240/4329] acc=0.8179 pred=A gold=D loss=None (0.6s/sample)
[2260/4329] acc=0.8146 pred=B gold=A loss=None (0.6s/sample)
[2280/4329] acc=0.8154 pred=A gold=A loss=None (0.6s/sample)
[2300/4329] acc=0.8170 pred=B gold=B loss=None (0.6s/sample)
[2320/4329] acc=0.8142 pred=C gold=C loss=None (0.6s/sample)
[2340/4329] acc=0.8150 pred=C gold=A loss=None (0.6s/sample)
[2360/4329] acc=0.8148 pred=B gold=B loss=None (0.6s/sample)
[2380/4329] acc=0.8147 pred=C gold=C loss=None (0.6s/sample)
[2400/4329] acc=0.8150 pred=A gold=A loss=None (0.6s/sample)
[2420/4329] acc=0.8149 pred=C gold=C loss=None (0.6s/sample)
[2440/4329] acc=0.8139 pred=C gold=B loss=None (0.6s/sample)
[2460/4329] acc=0.8106 pred=A gold=B loss=None (0.6s/sample)
[2480/4329] acc=0.8081 pred=A gold=D loss=None (0.6s/sample)
[2500/4329] acc=0.8076 pred=C gold=C loss=None (0.6s/sample)
[2520/4329] acc=0.8091 pred=C gold=C loss=None (0.6s/sample)
[2540/4329] acc=0.8106 pred=A gold=A loss=None (0.6s/sample)
[2560/4329] acc=0.8109 pred=C gold=C loss=None (0.6s/sample)
[2580/4329] acc=0.8120 pred=C gold=C loss=None (0.6s/sample)
[2600/4329] acc=0.8119 pred=C gold=C loss=None (0.6s/sample)
[2620/4329] acc=0.8118 pred=A gold=A loss=None (0.6s/sample)
[2640/4329] acc=0.8114 pred=D gold=D loss=None (0.6s/sample)
[2660/4329] acc=0.8105 pred=D gold=D loss=None (0.6s/sample)
[2680/4329] acc=0.8112 pred=D gold=D loss=None (0.6s/sample)
[2700/4329] acc=0.8100 pred=A gold=B loss=None (0.6s/sample)
[2720/4329] acc=0.8096 pred=A gold=C loss=None (0.6s/sample)
[2740/4329] acc=0.8106 pred=C gold=C loss=None (0.6s/sample)
[2760/4329] acc=0.8120 pred=B gold=B loss=None (0.6s/sample)
[2780/4329] acc=0.8101 pred=D gold=C loss=None (0.6s/sample)
[2800/4329] acc=0.8086 pred=D gold=D loss=None (0.6s/sample)
[2820/4329] acc=0.8082 pred=B gold=B loss=None (0.6s/sample)
[2840/4329] acc=0.8088 pred=C gold=C loss=None (0.6s/sample)
[2860/4329] acc=0.8101 pred=D gold=D loss=None (0.6s/sample)
[2880/4329] acc=0.8108 pred=B gold=B loss=None (0.6s/sample)
[2900/4329] acc=0.8090 pred=D gold=A loss=None (0.6s/sample)
[2920/4329] acc=0.8099 pred=B gold=B loss=None (0.6s/sample)
[2940/4329] acc=0.8109 pred=A gold=A loss=None (0.6s/sample)
[2960/4329] acc=0.8122 pred=B gold=B loss=None (0.6s/sample)
[2980/4329] acc=0.8134 pred=D gold=D loss=None (0.6s/sample)
[3000/4329] acc=0.8143 pred=C gold=C loss=None (0.6s/sample)
[3020/4329] acc=0.8152 pred=A gold=A loss=None (0.6s/sample)
[3040/4329] acc=0.8164 pred=D gold=D loss=None (0.6s/sample)
[3060/4329] acc=0.8176 pred=D gold=D loss=None (0.6s/sample)
[3080/4329] acc=0.8182 pred=C gold=C loss=None (0.6s/sample)
[3100/4329] acc=0.8184 pred=D gold=B loss=None (0.6s/sample)
[3120/4329] acc=0.8173 pred=D gold=D loss=None (0.6s/sample)
[3140/4329] acc=0.8175 pred=B gold=B loss=None (0.6s/sample)
[3160/4329] acc=0.8187 pred=D gold=D loss=None (0.6s/sample)
[3180/4329] acc=0.8179 pred=A gold=C loss=None (0.6s/sample)
[3200/4329] acc=0.8166 pred=C gold=C loss=None (0.6s/sample)
[3220/4329] acc=0.8161 pred=A gold=A loss=None (0.6s/sample)
[3240/4329] acc=0.8157 pred=A gold=A loss=None (0.6s/sample)
[3260/4329] acc=0.8166 pred=D gold=D loss=None (0.6s/sample)
[3280/4329] acc=0.8168 pred=A gold=A loss=None (0.6s/sample)
[3300/4329] acc=0.8179 pred=B gold=B loss=None (0.6s/sample)
[3320/4329] acc=0.8163 pred=C gold=C loss=None (0.6s/sample)
[3340/4329] acc=0.8144 pred=D gold=D loss=None (0.6s/sample)
[3360/4329] acc=0.8155 pred=C gold=C loss=None (0.6s/sample)
[3380/4329] acc=0.8154 pred=B gold=D loss=None (0.6s/sample)
[3400/4329] acc=0.8141 pred=C gold=C loss=None (0.6s/sample)
[3420/4329] acc=0.8143 pred=D gold=D loss=None (0.6s/sample)
[3440/4329] acc=0.8154 pred=D gold=D loss=None (0.6s/sample)
[3460/4329] acc=0.8165 pred=B gold=B loss=None (0.6s/sample)
[3480/4329] acc=0.8170 pred=D gold=D loss=None (0.6s/sample)
[3500/4329] acc=0.8174 pred=D gold=D loss=None (0.6s/sample)
[3520/4329] acc=0.8182 pred=D gold=D loss=None (0.6s/sample)
[3540/4329] acc=0.8178 pred=D gold=D loss=None (0.6s/sample)
[3560/4329] acc=0.8166 pred=D gold=D loss=None (0.6s/sample)
[3580/4329] acc=0.8165 pred=A gold=A loss=None (0.6s/sample)
[3600/4329] acc=0.8164 pred=B gold=B loss=None (0.6s/sample)
[3620/4329] acc=0.8163 pred=B gold=B loss=None (0.6s/sample)
[3640/4329] acc=0.8157 pred=B gold=B loss=None (0.6s/sample)
[3660/4329] acc=0.8153 pred=C gold=C loss=None (0.6s/sample)
[3680/4329] acc=0.8163 pred=A gold=A loss=None (0.6s/sample)
[3700/4329] acc=0.8162 pred=D gold=B loss=None (0.6s/sample)
[3720/4329] acc=0.8148 pred=B gold=B loss=None (0.6s/sample)
[3740/4329] acc=0.8144 pred=B gold=C loss=None (0.6s/sample)
[3760/4329] acc=0.8149 pred=A gold=D loss=None (0.6s/sample)
[3780/4329] acc=0.8159 pred=A gold=A loss=None (0.6s/sample)
[3800/4329] acc=0.8163 pred=D gold=D loss=None (0.6s/sample)
[3820/4329] acc=0.8162 pred=D gold=D loss=None (0.6s/sample)
[3840/4329] acc=0.8164 pred=D gold=D loss=None (0.6s/sample)
[3860/4329] acc=0.8171 pred=D gold=D loss=None (0.6s/sample)
[3880/4329] acc=0.8180 pred=D gold=D loss=None (0.6s/sample)
[3900/4329] acc=0.8187 pred=B gold=B loss=None (0.6s/sample)
[3920/4329] acc=0.8196 pred=A gold=A loss=None (0.6s/sample)
[3940/4329] acc=0.8198 pred=D gold=A loss=None (0.6s/sample)
[3960/4329] acc=0.8207 pred=A gold=A loss=None (0.6s/sample)
[3980/4329] acc=0.8216 pred=A gold=A loss=None (0.6s/sample)
[4000/4329] acc=0.8223 pred=B gold=B loss=None (0.6s/sample)
[4020/4329] acc=0.8229 pred=B gold=B loss=None (0.6s/sample)
[4040/4329] acc=0.8223 pred=D gold=C loss=None (0.6s/sample)
[4060/4329] acc=0.8222 pred=D gold=D loss=None (0.6s/sample)
[4080/4329] acc=0.8230 pred=D gold=D loss=None (0.6s/sample)
[4100/4329] acc=0.8237 pred=B gold=B loss=None (0.6s/sample)
[4120/4329] acc=0.8226 pred=C gold=C loss=None (0.6s/sample)
[4140/4329] acc=0.8217 pred=B gold=B loss=None (0.6s/sample)
[4160/4329] acc=0.8212 pred=B gold=C loss=None (0.6s/sample)
[4180/4329] acc=0.8218 pred=B gold=B loss=None (0.6s/sample)
[4200/4329] acc=0.8212 pred=C gold=C loss=None (0.6s/sample)
[4220/4329] acc=0.8220 pred=A gold=A loss=None (0.6s/sample)
[4240/4329] acc=0.8215 pred=D gold=C loss=None (0.6s/sample)
[4260/4329] acc=0.8197 pred=B gold=B loss=None (0.6s/sample)
[4280/4329] acc=0.8196 pred=C gold=C loss=None (0.6s/sample)
[4300/4329] acc=0.8202 pred=D gold=D loss=None (0.6s/sample)
[4320/4329] acc=0.8187 pred=A gold=A loss=None (0.6s/sample)
{
  "overall_acc": 0.817971817971818,
  "correct": 3541,
  "total": 4329,
  "strategy": "none",
  "online_enabled": false,
  "model": "/home/jxy/TTL/Qwen3.5-2B",
  "dataset": "lmms-lab-encoder/MMBench/cn/dev",
  "enable_thinking": false,
  "max_new_tokens": 256,
  "elapsed_sec": 2611.5,
  "category_acc": {
    "action_recognition": 0.9534883720930233,
    "attribute_comparison": 0.8439716312056738,
    "attribute_recognition": 0.8977272727272727,
    "celebrity_recognition": 0.9267676767676768,
    "function_reasoning": 0.868421052631579,
    "future_prediction": 0.6384615384615384,
    "identity_reasoning": 0.9886363636363636,
    "image_emotion": 0.89,
    "image_quality": 0.62,
    "image_scene": 0.9705159705159705,
    "image_style": 0.9245283018867925,
    "image_topic": 0.9428571428571428,
    "nature_relation": 0.659217877094972,
    "object_localization": 0.6825396825396826,
    "ocr": 0.9102564102564102,
    "physical_property_reasoning": 0.593607305936073,
    "physical_relation": 0.6702127659574468,
    "social_relation": 0.9302325581395349,
    "spatial_relationship": 0.5084745762711864,
    "structuralized_imagetext_understanding": 0.6382978723404256
  },
  "l2_category_acc": {
    "attribute_reasoning": 0.8125894134477826,
    "coarse_perception": 0.8963029756537421,
    "finegrained_perception (cross-instance)": 0.776735459662289,
    "finegrained_perception (instance-level)": 0.8496905393457118,
    "logic_reasoning": 0.6383495145631068,
    "relation_reasoning": 0.7662921348314606
  }
}
Results saved to: /home/jxy/mmbench_cn_results/ttl_qwen35_2b/baseline.json (+ /home/jxy/mmbench_cn_results/ttl_qwen35_2b/baseline.jsonl)
===== [2026年 08月 27日 星期四 16:01:07 CST] baseline 结束，退出码 0 =====
===== [2026年 08月 27日 星期四 16:01:07 CST] tent 开始 =====
[2026-08-27 16:01:14,389][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
[2026-08-27 16:01:14,389][numexpr.utils][INFO] - NumExpr defaulting to 16 threads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/617 [00:00<?, ?it/s]Loading weights:  35%|███▌      | 218/617 [00:00<00:00, 2155.74it/s]Loading weights:  92%|█████████▏| 566/617 [00:00<00:00, 2879.09it/s]Loading weights: 100%|██████████| 617/617 [00:00<00:00, 2837.02it/s]
trainable params: 417,792 || all params: 2,213,659,456 || trainable%: 0.0189
[2026-08-27 16:01:20,969][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-08-27 16:01:21,084][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/datasets/lmms-lab-encoder/MMBench/56ba1af8954932c4804bd3f522e05ed96e63b654/README.md "HTTP/1.1 200 OK"
[2026-08-27 16:01:21,404][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/MMBench.py "HTTP/1.1 404 Not Found"
[2026-08-27 16:01:22,911][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/lmms-lab-encoder/MMBench/lmms-lab-encoder/MMBench.py "HTTP/1.1 404 Not Found"
[2026-08-27 16:01:23,027][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/revision/56ba1af8954932c4804bd3f522e05ed96e63b654 "HTTP/1.1 200 OK"
[2026-08-27 16:01:23,354][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-08-27 16:01:23,943][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cc?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-08-27 16:01:24,065][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-08-27 16:01:24,336][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-08-27 16:01:24,451][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cn?recursive=true&expand=false "HTTP/1.1 200 OK"
Model: /home/jxy/TTL/Qwen3.5-2B
Strategy: tent (online.enabled=True), backend=hf, enable_thinking=False
Dataset: lmms-lab-encoder/MMBench cn dev, n=4329
